title,category,category_name,slug,anzsco,median_pay_annual,median_pay_weekly,median_ft_hourly,entry_education,skill_level,employed,projected_2029,projected_2034,outlook_pct,outlook_desc,part_time_pct,female_pct,median_age,url
Chief Executives and Managing Directors,managers,Managers,chief-executives-and-managing-directors,1111,,,,Bachelor degree,1,64100,60647,64694,5.8,Moderate growth,14,30,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1111-chief-executives-and-managing-directors
General Managers,managers,Managers,general-managers,1112,,,,Bachelor degree,1,67500,73089,77999,5.5,Moderate growth,11,38,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1112-general-managers
Legislators,managers,Managers,legislators,1113,,,,Bachelor degree,1,2700,2947,3095,2.5,Stable,31,48,64,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1113-legislators
Aquaculture Farmers,managers,Managers,aquaculture-farmers,1211,,,,Year 11 or below,1,1800,1682,1803,0.7,Stable,32,18,56,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1211-aquaculture-farmers
Crop Farmers,managers,Managers,crop-farmers,1212,,,,Year 11 or below,1,35800,36793,38502,0.1,Stable,17,22,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1212-crop-farmers
Livestock Farmers,managers,Managers,livestock-farmers,1213,,,,Year 11 or below,1,77800,81490,84261,0.8,Stable,32,30,62,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1213-livestock-farmers
Mixed Crop and Livestock Farmers,managers,Managers,mixed-crop-and-livestock-farmers,1214,,,,Year 11 or below,1,27800,25696,26561,0.8,Stable,19,26,54,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1214-mixed-crop-and-livestock-farmers
"Advertising, Public Relations and Sales Manager",managers,Managers,advertising-public-relations-and-sales-manager,1311,121212,2331,62,Bachelor degree,1,165500,185147,199011,9.4,Moderate growth,10,43,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1311-advertising-public-relations-and-sales-manager
Corporate Services Managers,managers,Managers,corporate-services-managers,1321,153816,2958,79,Bachelor degree,1,21400,27822,30381,13.2,Strong growth,14,58,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1321-corporate-services-managers
Finance Managers,managers,Managers,finance-managers,1322,162240,3120,84,Bachelor degree,1,75000,80977,88365,13.3,Strong growth,12,47,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1322-finance-managers
Human Resource Managers,managers,Managers,human-resource-managers,1323,153192,2946,82,Bachelor degree,1,91800,104927,114739,13.2,Strong growth,11,60,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1323-human-resource-managers
Policy and Planning Managers,managers,Managers,policy-and-planning-managers,1324,134368,2584,70,Postgraduate degree,1,38700,38546,41856,11.9,Strong growth,10,56,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1324-policy-and-planning-managers
Research and Development Managers,managers,Managers,research-and-development-managers,1325,127296,2448,65,Postgraduate degree,1,19300,21195,23182,13.7,Strong growth,17,60,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1325-research-and-development-managers
Construction Managers,managers,Managers,construction-managers,1331,191932,3691,97,Certificate III/IV,1,134600,149399,159793,15.2,Very strong growth,8,10,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1331-construction-managers
Engineering Managers,managers,Managers,engineering-managers,1332,153972,2961,80,Bachelor degree,1,35400,36594,39281,8.4,Moderate growth,9,17,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1332-engineering-managers
"Importers, Exporters and Wholesalers",managers,Managers,importers-exporters-and-wholesalers,1333,88764,1707,45,Year 12,1,18500,22700,24387,9.9,Moderate growth,23,32,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1333-importers-exporters-and-wholesalers
Manufacturers,managers,Managers,manufacturers,1334,,,,Certificate III/IV,1,21400,25030,26929,4.5,Stable,17,18,49,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1334-manufacturers
Production Managers,managers,Managers,production-managers,1335,134576,2588,64,Certificate III/IV,1,60500,65824,70838,6.7,Moderate growth,5,20,47,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1335-production-managers
"Supply, Distribution and Procurement Managers",managers,Managers,supply-distribution-and-procurement-managers,1336,139100,2675,71,Bachelor degree,1,56800,56237,60280,8.8,Moderate growth,7,29,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/1336-supply-distribution-and-procurement-managers
